xr,EE Name,Laptop Description,Asset Tag,Serial Number,,Laptop Hostname,Host Name,MAC Address,Remarks,ADDRESS,Contact No.,Status,Tech POC,Updated to Master Tracker (Yes or No),,,,,
05-01771,"CORPUZ, NICOLE DELA CRUZ",,,,,,,,Laptop Replacement - YONDU101229 (Windows to IOS) - Advise courier to pickup old unit,"Unit 3902, 104 Dr. A. Santos Ave, Brgy. Pinyahan, Antipolo City, Rizal",9185179093,Deployed,Philip Caranay,Y,,,,,
05-01752,"BERNARDO, ERIKA RAMOS",,YONDU101230,,,YONDU101230,YONDU101230,,Laptop Replacement due to Hardware Issue (camera) - YONDU101231 || Advise courier to pickup old unit,"Unit 2702, 86 Bonifacio High St, Brgy. Greenhills, Parañaque City, Metro Manila",9272219543,Deployed,Philip Caranay,Y,,,,,
,BEATRICE DOMINGO,,N/A,,,N/A,N/A,,Test Device Deployment (Vivo 20i and iPhone XR),"Unit 2602, 83 Governor Drive, Brgy. San Lorenzo, Parañaque City, Metro Manila",9272365770,Deployed,Kevin T.,Y,,,,,
,MONIQUE ESGUERRA,,N/A,,,N/A,N/A,,Test Device Deployment (RealMe C11 and iPhone XR),"Unit 3502, 221 Alabang-Zapote Road, Brgy. Ugong, Bacoor City, Cavite",9277669511,Deployed,Kevin T.,Y,,,,,
,PATRICIA ANNE SERRANO,,N/A,,,N/A,N/A,,Test Device Deployment (Xiaomi Redmi 9C and iPhone 11),"Unit 3502, 27 Commonwealth Avenue, Brgy. Palanan, Muntinlupa City, Metro Manila",9050563214,Deployed,Kevin T.,Y,,,,,
,JOSHUA VALDEZ,,N/A,,,N/A,N/A,,Test Device Deployment (Huawei Nova 3 and iPhone 11),"Unit 3702, 214 Ortigas Avenue, Brgy. San Lorenzo, Parañaque City, Metro Manila",9271237442,Deployed,Kevin T.,Y,,,,,
,CARLO HERNANDEZ,,N/A,,,N/A,N/A,,Test Device Deployment (Oppo A15s and iPhone SE),"Unit 502, 65 Ortigas Avenue, Brgy. Wack-Wack, Makati City, Metro Manila",9667576840,Deployed,Kevin T.,Y,,,,,
,KEVIN OCAMPO,,N/A,,,N/A,N/A,,Test Device Deployment (iPhone SE),"Unit 1502, 159 Katipunan Avenue, Brgy. San Antonio, Calamba City, Laguna",9666385256,For LBC Delivery,Kevin T.,,,,,,
05-01117,KATHERINE ROSE MANALANG,,YONDU101232,,,YONDU101232,YONDU101232,,Laptop replacement due to slowness - Advise courier to pickup his old unit,"Unit 3902, 128 Boni Avenue, Brgy. Alabang, Pasig City, Metro Manila",9667870093,Deployed,Philip Caranay,Y,,,,,
05-05043,VINCENT CASTILLO,,YONDU101233,,,YONDU101233,YONDU101233,,Laptop replacement due to damaged LCD - Advise courier to pickup her old unit,"Unit 202, 173 Katipunan Avenue, Brgy. Loyola Heights, Bacoor City, Cavite",9187050583,Deployed,Philip Caranay,Y,,,,,
05-01768,"SANTOS, PAULO MIGUEL LOPEZ",,YONDU101234,,,YONDU101234,YONDU101234,,,"Unit 2202, 227 Bonifacio High St, Brgy. Ugong, Santa Rosa City, Laguna",9663190662,Deployed,Philip Caranay,Y,,,,,
05-01771,"DELA CRUZ, JOSHUA LOPEZ",,YONDU101235,,,YONDU101235,YONDU101235,,,"Unit 902, 217 Alabang-Zapote Road, Brgy. Poblacion, Pasig City, Metro Manila",9275841055,Deployed,Philip Caranay,Y,,,,,
05-01752,"CORPUZ, JUAN CARLOS MENDOZA",,YONDU101236,,,YONDU101236,YONDU101236,,,"Unit 2402, 21 Commonwealth Avenue, Brgy. Kapitolyo, Taguig City, Metro Manila",9661887730,Deployed,Philip Caranay,Y,,,,,
