EE ID,SAP,ASSET TAG," Host Name"," MAC Address"," EMPLOYEE NAME",STATUS,Month,Year,DEPLOYED DATE," POSITION",BUSINESS UNIT,Operating System,Storage Location,REVISED MODEL 1," DESCRIPTION",SERIAL NO.,ACQUISITION DATE,WARRANTY EXPIRE,ACQUISITION COST,PURCHASED PRICE,ACCOUNTABILITY FORM,PO# / SI#,LAST USER,VENDOR NAME,
05-02313,100000,YONDU100001,YONDU100001,Pending,"MENDOZA, DANIEL JOSEPH MERCADO",Unreturned Asset,November,2021,"Nov 16, 2021",,Technology Group,Windows,,ACER TRAVELMATE P214 i5,ACER TRAVELMATE P214 i5,,"Jun 2, 2021","Jun 2, 2024","  50,223.22 ","2,511.16",,PO # 4700001180,,MICRO PACIFIC TECHNOLIGIE,
05-01072,100001,100002,100002,Pending,"VILLANUEVA, LOVELY GARCIA",Deployed,August,2020,Hold,CFO,Finance,Windows,,LENOVO THINKPAD E470 i7,"THINKPAD E470 I7, 16GB RAM, 1TB HDD, 2GB VIDEO CARD",PF-WQMR1G,"May 15, 2019","May 14, 2022","  55,669.64 ","2,783.48",,"DE LAS ALAS, JOHN GERWIN ARCETA",PAULO MIGUEL GARCIA,ACCENT MICRO TECHNOLOGIES,
05-02358,100002,YONDU100003,YONDU100003,Pending,"BERNARDO, JOHN PAUL FLORES",Unreturned Asset,January,2022,"Jan 11, 2022",,Client Based Globe,Windows,,LENOVO THINKPAD E490 i5,"THINKPAD E490 I5, 16GB RAM, 1TB HDD, 2GB VIDEO CARD",PF-5M5PKJ,"Aug 11, 2020","Aug 11, 2023","  51,843.75 ","2,592.19",,PO#4700000965 SI#238420,"MENDOZA, PATRICIA ANNE BAUTISTA",,
CON-00021,100003,YONDU100004,YONDU100004,08719041B769,"GARCIA, MARK ANTHONY VILLANUEVA",Deployed,December,2022,"Dec 22, 2022",Admin Officer,Admin,Windows,,LENOVO THINKPAD E490 i7,"THINKPAD E490 I7, 16GB RAM, 512SSD, 2GB VIDEO CARD",PF-BJUG6B,"Dec 17, 2019","Dec 16, 2022","  54,732.14 ","2,736.61",ACCF_GARCIA__MARK_ANTHONY_VILLANUEVA.pdf,"PO#4700000963 SI#017443; MALINAO,MAY QUIZON",,JUMP SOLUTIONS,
CON-00021,100004,YONDU100005,YONDU100005,Pending,"DELA CRUZ, CHARLENE FERNANDEZ",Deployed,September,2022,"Sep 22, 2022",Admin Assistant,Admin,Windows,,LENOVO THINKPAD E490 i5,"THINKPAD E490 I5, 16GB RAM, 1TB HDD, 2GB VIDEO CARD",PF-EF6LQR,"Aug 11, 2020","Aug 11, 2023","  51,843.75 ","2,592.19",ACCF_DELA_CRUZ__CHARLENE_FERNANDEZ.pdf,PO#4700000965 SI#238420,,JUMP SOLUTIONS,
05-03106,100005,YONDU100006,YONDU100006,Pending,"HERNANDEZ, PAULO MIGUEL RAMOS",Deployed,August,2025,"Aug 8, 2025",Asset Management Specialist,Technology Group,Windows,,LENOVO THINKBOOK 14S i7,"LENOVO THINKBOOK 14S,  PROCESSOR I7, 16GB RAM, 512 SSD",SN-F6UGSG,"Dec 1, 2020","Dec 1, 2023","  54,007.14 ","2,700.36",ACCF_HERNANDEZ__PAULO_MIGUEL_RAMOS.pdf,"PO#4700001037 SI#242106; LUCINARIO,EDGAR MEDINA",,ACCENT MICRO TECHNOLOGIES,
CON-00021,100006,YONDU100007,YONDU100007,Pending,"DELA CRUZ, CHARLENE FERNANDEZ",Deployed,April,2024,"Apr 12, 2024",Admin Officer,Admin,Windows,,LENOVO THINKBOOK 14S i7,"LENOVO THINKBOOK 14S,  PROCESSOR I7, 16GB RAM, 512 SSD",SN-FUWBXG,"Apr 1, 2021","Mar 31, 2024","  53,571.43 ","2,678.57",ACCF_DELA_CRUZ__CHARLENE_FERNANDEZ.pdf,"DOLLISON, JOSEPH",,ACCENT MICRO TECHNOLOGIES,
CON-00021,100007,YONDU100008,YONDU100008,087190ACFC1B,"PASCUAL, ERIKA RAMOS",Deployed,December,2024,"Dec 9, 2024",Admin,Admin,Windows,,ACER TRAVELMATE P214 i5,"ACER TRAVELMATE P215 i5 16GB RAM, 475SSD",SN-1UXZPW,"Jul 1, 2021","Jun 30, 2024","  40,982.14 ","2,049.11",ACCF_PASCUAL__ERIKA_RAMOS.pdf,"YAMBAO,MARK ANTHONY SUBA","DAVID, KEVIN BAUTISTA",MICRO PACIFIC TECHNOLIGIE,
,100008,YONDU100009,YONDU100009,Pending,,Spare,,,N/A,,,Windows,"Strong Start ",ACER TRAVELMATE P214 i5,ACER TRAVELMATE P214 i5,SN-SQ0VVY,"Aug 1, 2021","Jul 31, 2024","  50,223.22 ","2,511.16",,"PO # 4700001180; LIGAN, MICHAEL JENARD; AMBROSIO, STEPHANIE MARIE JACINTA",,MICRO PACIFIC TECHNOLIGIE,
05-09018,100009,YONDU100010,YONDU100010,087190CF2E02,,Spare for Sale,,,N/A,,,Windows,LAT-1A,ACER TRAVELMATE P214 i5,ACER TRAVELMATE P214 i5,SN-SXVZWP,"Aug 1, 2021","Jul 31, 2024","  50,223.22 ","2,511.16",,"PO # 4700001180; NESSIA, BRIX RODMAN BUSLAY","MIRANDA, MICHAEL ANGELO FLORES",MICRO PACIFIC TECHNOLIGIE,
