,,,,,,"Retracted ",LBC Delivery,For Site Pick up,For Transportify,Preparing,Waiting confirmation from HRBP,Email Only (client issued laptop),,,,,LBC Delivery,For Site Pick up,For Transportify,Preparing,Waiting confirmation from HRBP,Email Only,,,,
Yondu Asset Account Status,ASSET STATUS,Created Email Address,Strong Start Arrangement,DATE ENDORSED,EE NUMBER3.0,EMPLOYEE NAME,NEW HEADOUNT OR REPLACEMENT HEADCOUNT OF RESIGNED EEs,POSITION,DEPT/GROUP/UNIT,SUB Unit,IS,Day O.N.E Strong Start,Email,"Date of Birth
mm/dd/yyyy",TIN NUMBER,DISTRO,Remarks,START DATE,ADDRESS,CONTACT NUMBER,PICTURE,ASSET STATUS,REMARKS,NOTES,SERVICE UNIT (FOR FINANCE),For KIAH
" Azure AD User and Email Account Created",Yondu Windows,acortez@yondu.com,Face to Face Orientation,03/19/2026,05-03196,"CORTEZ, ALYSSA MARIE LOPEZ",NEW,Application Support Specialist,Technology Group,ITSM,"SANTOS, ERIKA AQUINO",04/10/2026,acortez.411@gmail.com,9/5/1999,,,MS - ISG IT Ops,04/10/2026,"Unit 602, 62 Ortigas Avenue, Brgy. Bel-Air, Quezon City, Metro Manila",9171277616,,,,,,acortez@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,rflores@yondu.com,Face to Face Orientation,03/19/2026,05-03196,"FLORES, RAFAEL GARCIA",NEW,Application Support Specialist,Technology Group,Cluster 1,"SERRANO, VINCENT GARCIA",04/10/2026,rflores.308@gmail.com,6/5/1997,,,MS - Mynt,04/10/2026,"Unit 2602, 84 Alabang-Zapote Road, Brgy. San Antonio, Las Piñas City, Metro Manila",9204261825,,,,,,rflores@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,katienza@yondu.com,Virtual Orientation,03/30/2026,CON-00021,"ATIENZA, KEVIN SANTOS",CONSULTANT,Technical Training and Enablement Programs and Pre-Sales Consultant,Technology Group,Cluster 1,"MALABANAN, KATHERINE ROSE CRUZ",04/10/2026,katienza.548@gmail.com,7/29/1985,,,Mynt,03/30/2026,"Unit 402, 63 Ayala Avenue, Brgy. Moonwalk, Parañaque City, Metro Manila",9666800599,,,,,,katienza@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,bcastillo@yondu.com,Face to Face Orientation,03/24/2026,05-06949,"CASTILLO, BEATRICE CRUZ",NEW,Machine Learning Operations Specialist,Client Based Globe,Globe Deployed,KATHERINE ROSE AQUINO,04/10/2026,bcastillo.535@gmail.com,12/2/1999,,,Mynt,04/13/2026,"Unit 3602, 144 Katipunan Avenue, Brgy. Wack-Wack, Muntinlupa City, Metro Manila",9175808872,,,,,,bcastillo@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,bvaldez@yondu.com,Face to Face Orientation,03/24/2026,05-03691,"VALDEZ, BEATRICE TORRES",NEW,Solutions Designer,Client Based Globe,Globe Deployed,"SERRANO, ALYSSA MARIE TORRES",04/10/2026,bvaldez.457@gmail.com,4/30/1997,,,NTG - ADJUNCT,04/13/2026,"Unit 202, 134 Katipunan Avenue, Brgy. Loyola Heights, Muntinlupa City, Metro Manila",9188209201,,,,,,bvaldez@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,rlopez@yondu.com,Face to Face Orientation,03/24/2026,05-03196,"LOPEZ, ROCHELLE LOPEZ",NEW,Service Desk Specialist,Technology Group,DSG Tech/CDP,"MORALES, CHRISTIAN CASTILLO",04/10/2026,rlopez.560@gmail.com,6/15/2002,,,MS - B2B L2A DSO,04/10/2026,"Unit 1802, 120 Shaw Boulevard, Brgy. Alabang, Antipolo City, Rizal",9663451377,,,,,,rlopez@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,jmercado@yondu.com,Face to Face Orientation,03/24/2026,05-06952,"MERCADO, JEROME MERCADO",NEW,Business Analyst,Client Based Globe,Globe Deployed,"SERRANO, ALYSSA MARIE TORRES",04/10/2026,jmercado.843@gmail.com,9/10/2000,,,NTG - ADJUNCT,04/13/2026,"Unit 2502, 143 C-5 Road, Brgy. Wack-Wack, Quezon City, Metro Manila",9170158175,,,,,,jmercado@yondu.com
" Azure AD User and Email Account Created",Yondu Macbook Pro,mramos@yondu.com,Face to Face Orientation,03/24/2026,05-06952,"RAMOS, MICHAEL ANGELO TORRES",NEW,Software Engineer,Client Based New Biz,New Biz Deployed - C3,"GUTIERREZ, MICHAEL ANGELO FLORES",04/10/2026,mramos.310@gmail.com,7/23/2000,,,AXA,04/13/2026,"Unit 1202, 154 Aurora Boulevard, Brgy. San Antonio, Imus City, Cavite",9661206760,,,,,,mramos@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,cdavid@yondu.com,Face to Face Orientation,03/24/2026,05-03196,"DAVID, CHRISTINE JOY RIVERA",NEW,Sr. Business Analyst,Client Based Globe,Globe Deployed,KATHERINE ROSE AQUINO,04/10/2026,cdavid.593@gmail.com,3/21/1981,,,B2B,04/13/2026,"Unit 2502, 194 Alabang-Zapote Road, Brgy. Palanan, Antipolo City, Rizal",9274362829,,,,,,cdavid@yondu.com
